Data :: 
 [2.06755400e+02 1.90429081e+01]
 [2.06809950e+02 1.30147516e+01]
 [2.06864510e+02 9.98663934e+00]
 [2.06919060e+02 1.49585789e+01]
 [2.06973610e+02 1.19305627e+01]
 [2.07028150e+02 5.90259324e+00]
 [2.07082690e+02 6.87466287e+00]
 [2.07137220e+02 1.28467742e+01]
 [2.07191750e+02 3.81891966e+00]
 [2.07246280e+02 4.79109676e+00]
 [2.07300800e+02 5.76330818e+00]
 [2.07355310e+02 1.17355515e+01]
 [2.07409830e+02 8.70781408e+00]
 [2.07464340e+02 8.68010379e+00]
 [2.07518840e+02 7.65241825e+00]
 [2.07573340e+02 7.62475003e+00]
 [2.07627840e+02 5.59709684e+00]
 [2.07682330e+02 6.56946145e+00]
 [2.07736820e+02 1.35418365e+01]
 [2.07791310e+02 7.51421982e+00]
 [2.07845790e+02 1.14866142e+01]
 [2.07900260e+02 1.44590174e+01]
 [2.07954740e+02 1.24314171e+01]
 [2.08009200e+02 1.24038264e+01]
 [2.08063670e+02 1.23762279e+01]
 [2.08118130e+02 1.63486297e+01]
 [2.08172580e+02 8.32102966e+00]
 [2.08227040e+02 7.29341552e+00]
 [2.08281480e+02 1.02658005e+01]
 [2.08335930e+02 1.32381673e+01]
 [2.08390370e+02 1.02105240e+01]
 [2.08444800e+02 8.18286880e+00]
 [2.08499230e+02 1.21551945e+01]
 [2.08553660e+02 1.01274992e+01]
 [2.08608080e+02 8.09978599e+00]
 [2.08662500e+02 1.50720480e+01]
 [2.08716920e+02 1.10442832e+01]
 [2.08771330e+02 1.10164949e+01]
 [2.08825730e+02 8.98868133e+00]
 [2.08880140e+02 1.19608303e+01]
 [2.08934540e+02 7.93295039e+00]
 [2.08988930e+02 9.90503972e+00]
 [2.09043320e+02 1.18770914e+01]
 [2.09097710e+02 7.84910379e+00]
 [2.09152090e+02 8.82108022e+00]
 [2.09206460e+02 4.79301904e+00]
 [2.09260840e+02 9.76490825e+00]
 [2.09315210e+02 7.73675653e+00]
 [2.09369570e+02 1.17085623e+01]
 [2.09423930e+02 1.36803186e+01]
 [2.09478290e+02 1.46520241e+01]
 [2.09532640e+02 4.62368221e+00]
 [2.09586990e+02 9.59528628e+00]
 [2.09641340e+02 1.75668347e+01]
 [2.09695680e+02 1.15383313e+01]
 [2.09750010e+02 7.50977461e+00]
 [2.09804350e+02 1.14811525e+01]
 [2.09858680e+02 1.04524742e+01]
 [2.09913000e+02 1.04237383e+01]
 [2.09967320e+02 1.13949380e+01]
 [2.10021630e+02 1.33660773e+01]
 [2.10075950e+02 3.33714418e+00]
 [2.10130250e+02 5.30815331e+00]
 [2.10184560e+02 3.27908734e+00]
 [2.10238860e+02 1.02499557e+01]
 [2.10293150e+02 3.22075704e+00]
 [2.10347440e+02 8.19148483e+00]
 [2.10401730e+02 1.01621378e+01]
 [2.10456010e+02 7.13272009e+00]
 [2.10510290e+02 3.10322515e+00]
 [2.10564560e+02 8.07365723e+00]
 [2.10618830e+02 1.00440097e+01]
 [2.10673100e+02 8.01428151e+00]
 [2.10727360e+02 1.09844769e+01]
 [2.10781620e+02 7.95458944e+00]
 [2.10835870e+02 1.92462345e+00]
 [2.10890120e+02 5.89457240e+00]
 [2.10944370e+02 8.86443526e+00]
 [2.10998610e+02 1.38342166e+01]
